case,,size,tst_insert,tst_search,tst_ram,bst_insert,bst_search,bst_ram
best,0,5000,0.012703615400823765,0.0061499377974541854,0.25231359999999653,0.003192480199504644,0.002513832403928973,0.0
best,1,10000,0.02091868499701377,0.012132039802963845,0.28835839999999846,0.012345754602574744,0.005686755396891385,0.0
best,2,15000,0.02904000940034166,0.0192329997982597,0.29655040000000665,0.016533629997866228,0.009029055407154374,0.0
best,3,20000,0.04396436100068968,0.026001019595423714,0.21954559999999787,0.021000843198271467,0.012470795199624263,0.036044800000001945
best,4,25000,0.05238192639662884,0.03364083119959105,0.2162688000000003,0.0250271143973805,0.016457316200830973,0.10813440000000014
best,5,30000,0.05843144740210846,0.040045851198374297,0.25231359999999653,0.03436848820128944,0.020051531001809054,0.0
best,6,35000,0.07498155980138108,0.04907152899831999,0.44236799999999904,0.037582858797395605,0.02540896060236264,0.0720895999999982
best,7,40000,0.09835663120320533,0.059478072996716945,0.4325376000000006,0.04719423119386192,0.0297773131984286,0.0
best,8,45000,0.09876141639833805,0.06715150859963614,0.41615359999999557,0.05394287520030048,0.03399408100231085,0.0720895999999982
best,9,50000,0.1150641844025813,0.07526575380179565,0.5505024000000048,0.0680155003996333,0.03842819079873152,0.07208960000000389
worst,0,5000,1.9025672069954453,1.833537723403424,0.20725759999999696,1.7850152303959477,1.4624252404028084,0.0
worst,1,10000,7.927440134403878,7.7382561817968964,0.2539519999999982,13.649594344999059,11.788186287804274,0.031129599999997027
worst,2,15000,18.05912914100336,17.847609415202168,0.18759680000000573,43.851369837403766,37.990246577595826,0.11796479999999292
worst,3,20000,31.66770069420163,31.547554683798808,0.12533759999997757,99.00006481720193,86.52767032219853,0.0729088000000047
worst,4,25000,49.928627714404136,49.078103947397906,0.5218304000000217,187.9165092722018,164.24508053259925,0.05160960000000614
worst,5,30000,74.42416521479899,73.45592581440287,0.4972544000000198,329.4041728532029,283.62784613900294,0.0
worst,6,35000,105.73137289159641,105.67489814980073,0.5660671999999977,530.2467265730054,449.35519127440057,0.08437760000001618
worst,7,40000,135.01122220300022,133.55436411500267,0.3047423999999864,739.272911360403,632.1261877535959,0.21790719999999056
worst,8,45000,179.8552029340004,176.50501254980335,0.46448639999998703,1093.5341241707997,910.8738004376034,0.11304959999997663
worst,9,50000,207.88419315219798,204.27452914160094,1.005158399999982,1424.6304367198056,1187.9019825683965,0.13434879999995247
average,0,5000,0.02788710099994205,0.009222788200713695,0.0,0.005202627999824472,0.004213310807244852,0.0
average,1,10000,0.12523670280352234,0.02779005019692704,3.291545600000018,0.012098042599973269,0.009888015003525652,0.0
average,2,15000,0.03510827479767613,0.018988026602892207,0.0,0.022631679798359984,0.013703035598155111,0.0
average,3,20000,0.05307520939968526,0.029993750803987494,0.18022399999999833,0.03025943760003429,0.020176589803304522,0.0
average,4,25000,0.22427962720103095,0.05771927099849563,5.442764800000009,0.04269168579776306,0.025060790803399867,0.0
average,5,30000,0.40031614039908164,0.08809992039750796,11.6850688,0.05301518399792258,0.032174306598608385,0.0
average,6,35000,0.2614889783988474,0.07686366700800136,6.190694400000007,0.05166147440613713,0.03679770920134615,0.0
average,7,40000,0.24767996699665673,0.07959956699924078,5.0110464000000094,0.05894843320129439,0.042644039797596636,0.0
average,8,45000,0.35198755340243226,0.1068160180002451,8.081407999999987,0.08409383360412903,0.05430403560167178,0.0
average,9,50000,0.4074401655991096,0.1269925655971747,8.913715200000002,0.10005386599805206,0.06519832320045679,0.0
