case,,size,tst_insert,tst_search,tst_ram
best,0,1000000,10.633972328342498,4.670285770297051,92.9837056
best,1,2500000,26.633141287229954,12.190868103690445,227.7904384
best,2,5000000,53.62166216634214,25.257335697859524,450.6099712
worst,0,1000000,15.998835303075612,10.609897323325276,93.04064
worst,1,2500000,41.65386008247733,27.871984243392944,227.4459648
worst,2,5000000,84.96993268132209,57.840127317234874,450.65216
average,0,1000000,12.924092191830278,7.173629997111857,93.1160064
average,1,2500000,34.72155746631324,19.92295932509005,226.762752
average,2,5000000,73.06390279009938,43.669303510151806,450.48791040000003
