case,,size,tst_insert,tst_search,tst_ram,bst_insert,bst_search,bst_ram
best,0,5000,0.04235877515748143,0.015100263059139252,1.0813440000000014,0.00777050293982029,0.005915819201618433,0.0
best,1,10000,0.03875308600254357,0.030137154972180724,1.3516800000000018,0.016763316001743078,0.012971865013241768,0.0
best,2,15000,0.05809002392925322,0.04659120296128094,1.0813440000000014,0.0267671721521765,0.02120493189431727,0.0
worst,0,5000,5.392610959010199,5.3590812790207565,0.1843199999999996,3.598680005175993,3.108007197966799,0.0
worst,1,10000,21.989313506055623,21.64546109410003,0.15564799999998513,22.937303866958246,19.966590824071318,0.0
worst,2,15000,49.39531036186963,49.52916171704419,0.5079039999999964,73.22752970317379,63.99490122683346,0.0
average,0,5000,0.024986422853544354,0.016425834968686104,0.1884160000000037,0.010977154830470681,0.008914628997445107,0.0
average,1,10000,0.146379946032539,0.05329514085315168,10.346495999999988,0.023656614124774933,0.018646246986463666,0.0
average,2,15000,0.07583022187463939,0.04300202801823616,0.0,0.03615819406695664,0.02908741496503353,0.0
