case,,size,tst_insert,tst_search,tst_ram,bst_insert,bst_search,bst_ram
best,0,5000,0.035626538992801215,0.006272273996728472,0.9011199999999917,0.003591751003114041,0.0031590409998898394,0.0
best,1,10000,0.015976285001670476,0.013589709000370931,1.2615679999999827,0.00789765299850842,0.007028674001048785,0.0
best,2,15000,0.023909183000796475,0.020709113996417727,2.162688000000003,0.012842952004575636,0.010834045002411585,0.0
worst,0,5000,1.95415648999915,1.9154342249967158,0.0,1.825391826001578,1.4461983580040396,0.09830399999998463
worst,1,10000,7.968731338005455,8.034082958998624,0.1269760000000133,14.424507205003465,12.602721979994385,0.0
worst,2,15000,19.1147601249977,19.17416061199765,0.7864319999999907,49.11503773000004,44.973215753998375,0.0
average,0,5000,0.012240896001458168,0.010014282997872215,0.1802240000000097,0.005648701997415628,0.00502558200241765,0.0
average,1,10000,0.04583547399670351,0.026413949999550823,11.354112000000015,0.05929151300369995,0.014481962003628723,0.0
average,2,15000,0.026510126001085155,0.020153043005848303,0.1802239999999813,0.022435573002439924,0.017814834995078854,0.0
